                              minimum      maximum
R0-unicevanje                0.000000     0.000000
R1-unicevanje                0.000000     0.000000
R2-unicevanje                0.000000     0.000000
R3-unicevanje                0.000000  1150.000000
R4-unicevanje                0.000000  1150.000000
R5-unicevanje             1150.000000  1150.000000
R6-unicevanje                0.000000     0.000000
R7-unicevanje                0.000000     0.000000
R8-unicevanje                0.000000     0.000000
R9-unicevanje                0.000000     0.000000
R10-unicevanje               0.000000     0.000000
R11-unicevanje               0.000000     0.000000
R12-unicevanje               0.000000  1150.000000
R13-unicevanje            1150.000000  1150.000000
R14-unicevanje               0.000000  1150.000000
R15-unicevanje               0.000000  1150.000000
R16-unicevanje               0.000000  1150.000000
R17-unicevanje               0.000000  1150.000000
R18-unicevanje               0.000000     0.000000
R19-unicevanje               0.000000   228.000000
R20-unicevanje               0.000000   228.000000
R21-unicevanje               0.000000     0.000000
R22-unicevanje            1150.000000  1150.000000
R23-unicevanje            1150.000000  1150.000000
R24-unicevanje            1150.000000  1150.000000
R25-unicevanje            1150.000000  1150.000000
R26-unicevanje               0.000000     0.000000
R27-unicevanje               0.000000     0.000000
R28-unicevanje               0.000000     0.000000
R29-unicevanje               0.000000     0.000000
R30-unicevanje               0.000000   228.000000
R31-unicevanje               0.000000     0.000000
R32-unicevanje               0.000000     0.000000
R33-unicevanje               0.000000   483.750000
R34-unicevanje               0.000000  1150.000000
R35-unicevanje               0.000000  1150.000000
R36-unicevanje            1150.000000  1150.000000
R37-unicevanje               0.000000  1150.000000
R38-unicevanje               0.000000  1150.000000
R39-unicevanje               0.000000  1150.000000
R40-unicevanje               0.000000  1150.000000
R41-unicevanje               0.000000     0.000000
R42-unicevanje               0.000000     0.000000
R43-unicevanje               0.000000     0.000000
R44-unicevanje               0.000000     0.000000
R45-unicevanje               0.000000     0.000000
R46-unicevanje               0.000000     0.000000
R47-unicevanje               0.000000     0.000000
R48-unicevanje               0.000000  1150.000000
R49-unicevanje               0.000000  1150.000000
R50-unicevanje               0.000000  1150.000000
R51-unicevanje               0.000000  1150.000000
R52-unicevanje            1150.000000  1150.000000
R53-unicevanje               0.000000  1150.000000
R54-unicevanje               0.000000  1150.000000
R55-unicevanje            1150.000000  1150.000000
R56-unicevanje            1150.000000  1150.000000
R57-unicevanje               0.000000     0.000000
R58-unicevanje               0.000000  1150.000000
R59-unicevanje               0.000000  1150.000000
R60-unicevanje            1150.000000  1150.000000
R61-unicevanje            1150.000000  1150.000000
R62-unicevanje               0.000000     0.000000
R63-unicevanje               0.000000  1150.000000
R64-unicevanje               0.000000  1150.000000
R65-unicevanje               0.000000     0.000000
R66-unicevanje               0.000000     0.000000
R67-unicevanje               0.000000  1150.000000
R68-unicevanje               0.000000  1150.000000
R69-unicevanje               0.000000  1150.000000
R70-unicevanje               0.000000     0.000000
R71-unicevanje               0.000000     0.000000
R72-unicevanje               0.000000  1150.000000
R73-unicevanje             650.000000  1150.000000
R74-unicevanje               0.000000     0.000000
R75-unicevanje               0.000000  1150.000000
R76-unicevanje               0.000000  1150.000000
R77-unicevanje            1150.000000  1150.000000
R78-unicevanje            1150.000000  1150.000000
R79-unicevanje            1150.000000  1150.000000
R80-unicevanje            1150.000000  1150.000000
R81-unicevanje            1150.000000  1150.000000
R82-unicevanje             150.000000  1150.000000
R83-unicevanje             150.000000  1150.000000
R84-unicevanje               0.000000  1150.000000
R85-unicevanje            1150.000000  1150.000000
R86-unicevanje            1150.000000  1150.000000
R87-unicevanje            1150.000000  1150.000000
R88-unicevanje            1150.000000  1150.000000
R89-unicevanje            1150.000000  1150.000000
R90-unicevanje            1150.000000  1150.000000
R91-unicevanje               0.000000  1150.000000
R92-unicevanje               0.000000  1150.000000
R93-unicevanje            1150.000000  1150.000000
R94-unicevanje            1150.000000  1150.000000
R95-unicevanje            1150.000000  1150.000000
R96-unicevanje               0.000000  1150.000000
R97-unicevanje               0.000000  1150.000000
R98-unicevanje            1150.000000  1150.000000
R99-unicevanje            1150.000000  1150.000000
R100-unicevanje           1150.000000  1150.000000
R101-unicevanje           1150.000000  1150.000000
R102-unicevanje           1150.000000  1150.000000
R103-unicevanje           1150.000000  1150.000000
R104-unicevanje           1150.000000  1150.000000
R105-unicevanje           1150.000000  1150.000000
R106-unicevanje           1150.000000  1150.000000
R107-unicevanje           1150.000000  1150.000000
R108-unicevanje           1150.000000  1150.000000
R109-unicevanje           1150.000000  1150.000000
R110-unicevanje           1150.000000  1150.000000
R111-unicevanje           1150.000000  1150.000000
R112-unicevanje           1150.000000  1150.000000
R113-unicevanje           1150.000000  1150.000000
R114-unicevanje            900.000000  1150.000000
R115-unicevanje              0.000000  1150.000000
R116-unicevanje              0.000000  1150.000000
R117-unicevanje              0.000000  1150.000000
R118-unicevanje              0.000000  1150.000000
R119-unicevanje              0.000000  1150.000000
R120-unicevanje              0.000000  1150.000000
R121-unicevanje           1150.000000  1150.000000
R122-unicevanje            150.000000  1150.000000
R123-unicevanje              0.000000  1150.000000
R124-unicevanje           1150.000000  1150.000000
R125-unicevanje           1150.000000  1150.000000
R126-unicevanje           1150.000000  1150.000000
R127-unicevanje              0.000000  1150.000000
R128-unicevanje              0.000000  1150.000000
R129-unicevanje              0.000000  1150.000000
R130-unicevanje              0.000000     0.000000
R131-unicevanje              0.000000     0.000000
R132-unicevanje              0.000000  1150.000000
R133-unicevanje              0.000000  1150.000000
R134-unicevanje              0.000000     0.000000
R135-unicevanje              0.000000   228.000000
R136-unicevanje           1150.000000  1150.000000
R137-unicevanje              0.000000     0.000000
R138-unicevanje              0.000000     0.000000
R139-unicevanje              0.000000     0.000000
R140-unicevanje              0.000000     0.000000
R141-unicevanje              0.000000     0.000000
R142-unicevanje              0.000000  1150.000000
R143-unicevanje              0.000000  1150.000000
R144-unicevanje              0.000000   238.000000
R145-unicevanje              0.000000     0.000000
R146-unicevanje              0.000000     0.000000
R147-unicevanje              0.000000     0.000000
R148-unicevanje              0.000000     0.000000
R149-unicevanje              0.000000  1150.000000
R150-unicevanje              0.000000  1150.000000
R151-unicevanje              0.000000  1150.000000
R152-unicevanje              0.000000  1128.000000
R153-unicevanje              0.000000  1128.000000
R154-unicevanje              0.000000     0.000000
R155-unicevanje              0.000000  1150.000000
R156-unicevanje              0.000000     0.000000
R157-unicevanje           1150.000000  1150.000000
R158-unicevanje              0.000000   512.250000
R159-unicevanje              0.000000     0.000000
R160-unicevanje              0.000000  1150.000000
R161-unicevanje              0.000000  1150.000000
R162-unicevanje              0.000000     0.000000
R163-unicevanje              0.000000  1150.000000
R164-unicevanje              0.000000  1150.000000
R165-unicevanje              0.000000  1150.000000
R166-unicevanje              0.000000  1150.000000
R167-unicevanje           1150.000000  1150.000000
R168-unicevanje              0.000000     0.000000
R169-unicevanje              0.000000  1150.000000
R170-unicevanje              0.000000  1150.000000
R171-unicevanje              0.000000     0.000000
R172-unicevanje           1150.000000  1150.000000
R173-unicevanje           1150.000000  1150.000000
R174-unicevanje              0.000000  1150.000000
R175-unicevanje              0.000000     0.000000
R176-unicevanje              0.000000  1150.000000
R177-unicevanje              0.000000  1150.000000
R178-unicevanje              0.000000  1150.000000
R179-unicevanje              0.000000  1150.000000
R180-unicevanje              0.000000  1150.000000
R181-unicevanje              0.000000  1150.000000
R182-unicevanje              0.000000  1150.000000
R183-unicevanje              0.000000  1150.000000
R184-unicevanje           1150.000000  1150.000000
R185-unicevanje              0.000000  1150.000000
R186-unicevanje              0.000000  1150.000000
R187-unicevanje              0.000000     0.000000
R188-unicevanje           1150.000000  1150.000000
R189-unicevanje              0.000000  1150.000000
R190-unicevanje              0.000000     0.000000
R191-unicevanje              0.000000  1150.000000
R192-unicevanje              0.000000  1150.000000
R193-unicevanje              0.000000  1150.000000
R194-unicevanje              0.000000  1150.000000
R195-unicevanje              0.000000  1150.000000
R196-unicevanje              0.000000  1150.000000
R197-unicevanje              0.000000  1150.000000
R198-unicevanje           1150.000000  1150.000000
R199-unicevanje              0.000000     0.000000
R200-unicevanje              0.000000     0.000000
R201-unicevanje              0.000000     0.000000
R202-unicevanje              0.000000     0.000000
R203-unicevanje              0.000000     0.000000
R204-unicevanje           1150.000000  1150.000000
R205-unicevanje              0.000000  1150.000000
R206-unicevanje           1150.000000  1150.000000
R207-unicevanje              0.000000  1150.000000
R208-unicevanje           1150.000000  1150.000000
R209-unicevanje           1150.000000  1150.000000
R210-unicevanje              0.000000     0.000000
R211-unicevanje              0.000000     0.000000
R212-unicevanje              0.000000  1150.000000
R213-unicevanje              0.000000     0.000000
R214-unicevanje              0.000000  1150.000000
R215-unicevanje              0.000000  1150.000000
R216-unicevanje            650.000000  1150.000000
R217-unicevanje              0.000000  1150.000000
R218-unicevanje              0.000000  1150.000000
R219-unicevanje           1150.000000  1150.000000
R220-unicevanje           1150.000000  1150.000000
R221-unicevanje              0.000000  1150.000000
R222-unicevanje              0.000000  1150.000000
R223-unicevanje              0.000000  1150.000000
R224-unicevanje              0.000000  1150.000000
R225-unicevanje              0.000000  1150.000000
R226-unicevanje              0.000000   599.500000
R227-unicevanje              0.000000  1150.000000
R228-unicevanje              0.000000  1150.000000
R229-unicevanje              0.000000  1150.000000
R230-unicevanje              0.000000  1150.000000
R231-unicevanje              0.000000  1150.000000
R232-unicevanje              0.000000   483.750000
R233-unicevanje              0.000000     0.000000
R234-unicevanje              0.000000  1150.000000
R235-unicevanje              0.000000  1150.000000
R236-unicevanje              0.000000  1150.000000
R237-unicevanje              0.000000  1150.000000
R238-unicevanje              0.000000  1150.000000
R239-unicevanje           1150.000000  1150.000000
R240-unicevanje              0.000000  1150.000000
R241-unicevanje              0.000000     0.000000
R242-unicevanje              0.000000     0.000000
R243-unicevanje           1150.000000  1150.000000
R244-unicevanje           1150.000000  1150.000000
R245-unicevanje              0.000000  1150.000000
R246-unicevanje              0.000000  1150.000000
R247-unicevanje           1150.000000  1150.000000
R248-unicevanje              0.000000  1150.000000
R249-unicevanje              0.000000  1150.000000
R250-unicevanje              0.000000  1150.000000
R251-unicevanje           1150.000000  1150.000000
R252-unicevanje              0.000000  1150.000000
R253-unicevanje           1150.000000  1150.000000
R254-unicevanje              0.000000  1150.000000
R255-unicevanje           1150.000000  1150.000000
R256-unicevanje              0.000000     0.000000
R257-unicevanje              0.000000  1150.000000
R258-unicevanje              0.000000  1150.000000
R259-unicevanje              0.000000  1150.000000
R260-unicevanje              0.000000  1150.000000
R261-unicevanje              0.000000  1150.000000
R262-unicevanje              0.000000  1150.000000
R263-unicevanje              0.000000  1150.000000
R264-unicevanje           1150.000000  1150.000000
R265-unicevanje              0.000000  1150.000000
R266-unicevanje              0.000000  1128.000000
R267-unicevanje              0.000000  1150.000000
R268-unicevanje              0.000000  1150.000000
R269-unicevanje              0.000000  1150.000000
R270-unicevanje           1150.000000  1150.000000
R271-unicevanje           1150.000000  1150.000000
R272-unicevanje              0.000000  1150.000000
R273-unicevanje              0.000000  1150.000000
R274-unicevanje              0.000000  1150.000000
R275-unicevanje              0.000000  1150.000000
R276-unicevanje           1150.000000  1150.000000
R277-unicevanje              0.000000  1150.000000
R278-unicevanje           1150.000000  1150.000000
R279-unicevanje              0.000000  1150.000000
R280-unicevanje           1150.000000  1150.000000
R281-unicevanje              0.000000  1150.000000
R282-unicevanje              0.000000  1150.000000
R283-unicevanje           1150.000000  1150.000000
R284-unicevanje              0.000000  1150.000000
R285-unicevanje              0.000000  1150.000000
R286-unicevanje              0.000000  1150.000000
R287-unicevanje              0.000000  1150.000000
R288-unicevanje           1150.000000  1150.000000
R289-unicevanje              0.000000   512.250000
R290-unicevanje              0.000000   512.250000
R291-unicevanje              0.000000  1150.000000
R292-unicevanje           1150.000000  1150.000000
R293-unicevanje           1150.000000  1150.000000
R294-unicevanje              0.000000  1150.000000
R295-unicevanje              0.000000  1150.000000
R296-unicevanje           1150.000000  1150.000000
R297-unicevanje              0.000000  1150.000000
R298-unicevanje              0.000000  1150.000000
R299-unicevanje              0.000000  1150.000000
R300-unicevanje              0.000000     0.000000
R301-unicevanje              0.000000  1150.000000
R302-unicevanje              0.000000  1150.000000
R303-unicevanje              0.000000  1150.000000
R304-unicevanje              0.000000     0.000000
R305-unicevanje              0.000000  1150.000000
R306-unicevanje              0.000000  1150.000000
R307-unicevanje              0.000000  1150.000000
R308-unicevanje              0.000000  1150.000000
R309-unicevanje              0.000000  1150.000000
R310-unicevanje            150.000000  1150.000000
R311-unicevanje              0.000000  1150.000000
R312-unicevanje              0.000000  1150.000000
R313-unicevanje              0.000000  1150.000000
R314-unicevanje              0.000000  1150.000000
R315-unicevanje              0.000000  1150.000000
R316-unicevanje              0.000000  1150.000000
R317-unicevanje              0.000000  1150.000000
R318-unicevanje              0.000000  1150.000000
R319-unicevanje           1150.000000  1150.000000
R320-unicevanje           1150.000000  1150.000000
R321-unicevanje           1150.000000  1150.000000
R322-unicevanje           1150.000000  1150.000000
R323-unicevanje              0.000000   512.250000
R324-unicevanje              0.000000   512.250000
R325-unicevanje              0.000000  1150.000000
R326-unicevanje              0.000000  1150.000000
R327-unicevanje              0.000000  1128.000000
R328-unicevanje              0.000000  1150.000000
R329-unicevanje           1150.000000  1150.000000
R330-unicevanje              0.000000  1150.000000
R331-unicevanje              0.000000  1150.000000
R332-unicevanje           1150.000000  1150.000000
R333-unicevanje              0.000000  1150.000000
R334-unicevanje              0.000000     0.000000
R335-unicevanje              0.000000     0.000000
R336-unicevanje              0.000000     0.000000
R337-unicevanje              0.000000     0.000000
R338-unicevanje              0.000000     0.000000
R339-unicevanje           1150.000000  1150.000000
R340-unicevanje              0.000000  1150.000000
R341-unicevanje           1150.000000  1150.000000
R342-unicevanje              0.000000  1150.000000
R343-unicevanje              0.000000  1150.000000
R344-unicevanje              0.000000  1150.000000
R345-unicevanje              0.000000  1150.000000
R346-unicevanje           1150.000000  1150.000000
R347-unicevanje              0.000000  1150.000000
R348-unicevanje              0.000000  1150.000000
R349-unicevanje              0.000000  1150.000000
R350-unicevanje              0.000000  1150.000000
R351-unicevanje              0.000000  1150.000000
R352-unicevanje           1150.000000  1150.000000
R353-unicevanje           1150.000000  1150.000000
R354-unicevanje              0.000000     0.000000
R355-unicevanje              0.000000     0.000000
R356-unicevanje              0.000000     0.000000
R357-unicevanje              0.000000   238.000000
R358-unicevanje           1150.000000  1150.000000
R359-unicevanje              0.000000     0.000000
R360-unicevanje              0.000000  1150.000000
R361-unicevanje              0.000000  1150.000000
R362-unicevanje              0.000000  1150.000000
R363-unicevanje              0.000000  1150.000000
R364-unicevanje              0.000000  1150.000000
R365-unicevanje              0.000000  1150.000000
R366-unicevanje              0.000000  1150.000000
R367-unicevanje              0.000000  1150.000000
R368-unicevanje           1150.000000  1150.000000
R369-unicevanje           1150.000000  1150.000000
R370-unicevanje              0.000000  1150.000000
R371-unicevanje              0.000000  1150.000000
R372-unicevanje           1150.000000  1150.000000
R373-unicevanje              0.000000  1150.000000
R374-unicevanje              0.000000  1150.000000
R375-unicevanje           1150.000000  1150.000000
R376-unicevanje              0.000000  1150.000000
R377-unicevanje           1150.000000  1150.000000
R378-unicevanje              0.000000  1150.000000
R379-unicevanje              0.000000  1150.000000
R380-unicevanje              0.000000  1150.000000
R381-unicevanje              0.000000  1150.000000
R382-unicevanje           1150.000000  1150.000000
R383-unicevanje              0.000000  1150.000000
R384-unicevanje              0.000000  1150.000000
R385-unicevanje              0.000000  1150.000000
R386-unicevanje              0.000000  1150.000000
R387-unicevanje              0.000000  1150.000000
R388-unicevanje              0.000000  1150.000000
R389-unicevanje              0.000000  1150.000000
R390-unicevanje           1150.000000  1150.000000
R391-unicevanje           1150.000000  1150.000000
R392-unicevanje              0.000000  1150.000000
R393-unicevanje              0.000000  1150.000000
R394-unicevanje              0.000000  1150.000000
R395-unicevanje              0.000000  1150.000000
R396-unicevanje              0.000000  1150.000000
R397-unicevanje              0.000000  1150.000000
R398-unicevanje              0.000000  1150.000000
