u,v,osmid,lanes,name,maxspeed,length,geometry,highway
6968835,476283357,3285285,2,Celovška cesta,50,13.916,"LINESTRING (14.5015427 46.0565656, 14.5014409 46.0566689)",primary
6968835,474737197,"[150022145, 281598449, 281598455]",3.0,Tivolska cesta,60,384.8919999999999,"LINESTRING (14.5015427 46.0565656, 14.5016997 46.0567005, 14.5018017 46.0567919, 14.5019571 46.0569294, 14.5020635 46.0570154, 14.5021951 46.0571115, 14.5023102 46.0571862, 14.5023955 46.0572375, 14.5025418 46.0573151, 14.5026657 46.057378, 14.5027963 46.0574356, 14.5029408 46.0574904, 14.5030882 46.0575386, 14.5032229 46.0575768, 14.5033995 46.0576317, 14.5035406 46.0576722, 14.5037819 46.0577173, 14.5040069 46.0577459, 14.5041146 46.0577555, 14.5042412 46.0577637, 14.5043653 46.0577695, 14.504496 46.0577699, 14.5046241 46.0577674, 14.504747 46.05776, 14.5048699 46.0577515, 14.5049977 46.0577393, 14.5051044 46.0577272, 14.505211 46.0577107, 14.5056213 46.0576437, 14.5057329 46.0576266, 14.5058865 46.0576054)",primary
6969214,476283324,6080112,2,Dunajska cesta,50,10.967,"LINESTRING (14.5060205 46.0575883, 14.5060607 46.0576829)",primary
6969214,16149602,"[977596335, 295113985, 4477751]",2.5,Trg Osvobodilne fronte,50,191.551,"LINESTRING (14.5060205 46.0575883, 14.5062059 46.0575778, 14.5064416 46.0575746, 14.5073643 46.0575865, 14.5076521 46.05759, 14.5082717 46.0575974, 14.5083687 46.0575992, 14.5085019 46.0576017)",primary
6983109,476283363,1629774,2,Šubičeva ulica,50,11.559,"LINESTRING (14.4972739 46.0520606, 14.4971447 46.0521132)",tertiary
6983109,8493842241,"[914376922, 368284689, 882135618, 927807804]",3,Šubičeva ulica,50,116.75500000000001,"LINESTRING (14.4972739 46.0520606, 14.4973974 46.0520119, 14.4975089 46.05198, 14.497766 46.051924, 14.4979173 46.0518911, 14.498081 46.0518554, 14.4982628 46.0518161, 14.49849 46.0517669, 14.4985645 46.0517508, 14.4986042 46.0517422, 14.4987022 46.051721)",tertiary
6983109,33632654,"[1133590626, 1133590627, 1118753701, 368284688, 1125076305, 1133592344]",2,Bleiweisova cesta,60,365.71100000000007,"LINESTRING (14.4972739 46.0520606, 14.4974147 46.0522133, 14.498002 46.0528758, 14.4981461 46.0530397, 14.4983878 46.0533102, 14.4984723 46.0534048, 14.4985825 46.0535282, 14.4986357 46.0535878, 14.4989794 46.0539776, 14.4995909 46.0546659, 14.4997109 46.0547988, 14.4997649 46.0548585)",primary
16147719,476299515,"[1184152032, 1008729418, 1008729419, 1184152267, 24960658, 983140979, 727578809]",2.5,Celovška cesta,60,721.6200000000001,"LINESTRING (14.4912486 46.0681324, 14.4910032 46.0683753, 14.4908618 46.0685187, 14.4907673 46.0686119, 14.4906746 46.0686973, 14.4905508 46.0688221, 14.4901938 46.069193, 14.4900471 46.0693442, 14.4897952 46.0696062, 14.4896211 46.0697876, 14.489346 46.0700762, 14.4888287 46.0706262, 14.4887066 46.0707554, 14.4883292 46.0711653, 14.4877659 46.0717729, 14.4875482 46.0720078, 14.4874421 46.0721231, 14.4872235 46.0723608, 14.4870808 46.0725144, 14.4869206 46.0726869, 14.4865418 46.0730996, 14.4861672 46.0735033, 14.4861166 46.0735573)",primary
16147719,31815754,"[1195095473, 1216094947, 4892845, 1219019991]",2.5,Smrekarjeva ulica,30,566.3459999999999,"LINESTRING (14.4912486 46.0681324, 14.4913053 46.068163, 14.4913502 46.0682058, 14.4913823 46.0682471, 14.4914504 46.0683525, 14.4918179 46.0689128, 14.4921805 46.0694602, 14.4922339 46.069545, 14.4922783 46.0696162, 14.4928054 46.0704641, 14.4928523 46.0705418, 14.4928944 46.0706117, 14.4932909 46.0713311, 14.4936206 46.0719282, 14.4936633 46.0720021, 14.4939184 46.0724643, 14.4939636 46.0725259, 14.4940574 46.072604, 14.4941756 46.0726663, 14.4941878 46.0726702, 14.4943105 46.0726972)",tertiary
16147901,474741048,150127661,1,Verovškova ulica,50,10.378,"LINESTRING (14.496737 46.066935, 14.4966956 46.0668462)",tertiary
16147901,2976939772,"[111208376, 1184614505]",2,Drenikova ulica,60,39.079,"LINESTRING (14.496737 46.066935, 14.4965738 46.0669572, 14.4964835 46.066969, 14.4962352 46.0669657)",primary
16147901,31815754,"[1216109856, 150076357, 6113580, 150127661, 1148745713, 1184594292, 150076341, 57771099]",2.5,"['Goriška ulica', 'Černetova ulica', 'Verovškova ulica']",30,1014.5490000000002,"LINESTRING (14.496737 46.066935, 14.4967632 46.06699, 14.4967828 46.067043, 14.496871 46.0672853, 14.4969536 46.0675049, 14.4969945 46.0676064, 14.4970765 46.0675928, 14.4976095 46.0675025, 14.4980373 46.0674287, 14.4981586 46.0674073, 14.4989385 46.0672732, 14.4993183 46.0672084, 14.4993409 46.0672049, 14.499363 46.0672013, 14.4993815 46.0672003, 14.4994077 46.0672002, 14.4994353 46.067202, 14.4994638 46.0672076, 14.4994887 46.0672152, 14.4995073 46.0672231, 14.4995253 46.0672345, 14.4995401 46.0672457, 14.4995508 46.0672557, 14.4995596 46.0672674, 14.4995648 46.06728, 14.4995695 46.0672948, 14.4995719 46.0673085, 14.4995729 46.067321, 14.4995705 46.0673375, 14.4995641 46.0673636, 14.499542 46.0674277, 14.4995201 46.0674805, 14.4994785 46.0675578, 14.4994319 46.0676344, 14.4993939 46.0676939, 14.4993338 46.0677791, 14.4992934 46.0678322, 14.4992313 46.0679091, 14.4991881 46.0679609, 14.4991434 46.0680131, 14.4990471 46.0681202, 14.498895 46.068278, 14.4986766 46.068496, 14.4984819 46.0686825, 14.4982192 46.0689343, 14.497647 46.0694731, 14.4975219 46.0695962, 14.4969708 46.0701475, 14.4962322 46.0708623, 14.4953379 46.0717317, 14.4950675 46.0719914, 14.4948453 46.0721976, 14.4944288 46.0725925, 14.4943105 46.0726972)",tertiary
16148422,26546559,4596274,1,nan,50,253.61599999999999,"LINESTRING (14.4856323 46.0808412, 14.4854978 46.0808182, 14.4853633 46.0807809, 14.4851009 46.0806688, 14.4843819 46.080385, 14.4838254 46.0801683, 14.4834566 46.0800052, 14.4827771 46.0797206)",trunk_link
16148422,26408564,64026091,2,Severna obvoznica,110,900.097,"LINESTRING (14.4856323 46.0808412, 14.4848883 46.0804967, 14.4839839 46.0800664, 14.4835395 46.0798578, 14.4831473 46.0796839, 14.4827421 46.079519, 14.4823297 46.0793632, 14.4821241 46.0792891, 14.4817027 46.0791481, 14.4813428 46.079036, 14.4807021 46.0788508, 14.480278 46.0787326, 14.4780258 46.0781134, 14.4774454 46.0779539, 14.4769412 46.0778154, 14.4760702 46.0775765, 14.4751729 46.0773288)",trunk
16148865,474737209,149731560,6,Dunajska cesta,60,12.177,"LINESTRING (14.509992 46.068104, 14.5099642 46.0679962)",primary
16148865,480393063,149731561,5,Dunajska cesta,60,40.355999999999995,"LINESTRING (14.509992 46.068104, 14.5100348 46.0682536, 14.5100497 46.0683141, 14.5100859 46.068461)",primary
16148865,5655788498,149768320,2,Samova ulica,60,73.202,"LINESTRING (14.509992 46.068104, 14.5097579 46.0681432, 14.5096695 46.0681515, 14.5094245 46.0681706, 14.509333 46.0681734, 14.5092578 46.0681729, 14.5091799 46.0681698, 14.5090691 46.0681261)",primary
16148883,16148888,980728622,3,Samova ulica,60,53.352000000000004,"LINESTRING (14.5035859 46.0665008, 14.5032593 46.0664657, 14.5031651 46.0664516, 14.5029044 46.0664199)",primary
